epoch,accuracy,loss,val_accuracy,val_loss
0,0.9090499877929688,0.2786787748336792,0.9941666722297668,0.0448848158121109
1,0.9854000210762024,0.07977216690778732,0.9943333268165588,0.03505463898181915
2,0.9815333485603333,0.07700484991073608,0.9931666851043701,0.042050547897815704
3,0.9777166843414307,0.09782468527555466,0.9856666922569275,0.05492546409368515
4,0.9831833243370056,0.07159771025180817,0.9865000247955322,0.04883287101984024
5,0.9904166460037231,0.04836234822869301,0.9955000281333923,0.03168318793177605
6,0.9851166605949402,0.08141012489795685,0.9925000071525574,0.03606446087360382
7,0.9928333163261414,0.04195675998926163,0.9961666464805603,0.026348287239670753
8,0.9924166798591614,0.04427430406212807,0.9959999918937683,0.027250872924923897
9,0.9949833154678345,0.03256868198513985,0.9956666827201843,0.03129111975431442
10,0.9947333335876465,0.032654885202646255,0.9958333373069763,0.02867334522306919
11,0.9931833148002625,0.04198063164949417,0.9953333139419556,0.031081151217222214
0,0.7599999904632568,0.5682703256607056,0.8805000185966492,0.3535870313644409
1,0.8730166554450989,0.35027164220809937,0.8923333287239075,0.26833871006965637
2,0.8964999914169312,0.2759491503238678,0.9269999861717224,0.20636190474033356
3,0.8795999884605408,0.3097688853740692,0.8541666865348816,0.28052031993865967
4,0.9297000169754028,0.198811337351799,0.9595000147819519,0.12576548755168915
5,0.9508666396141052,0.14828921854496002,0.9585000276565552,0.1208484023809433
6,0.9553999900817871,0.1424906849861145,0.9721666574478149,0.10316979140043259
7,0.9491999745368958,0.174134761095047,0.9633333086967468,0.11653222888708115
8,0.9643666744232178,0.11993417888879776,0.9766666889190674,0.08810152113437653
9,0.967283308506012,0.11477722972631454,0.9753333330154419,0.08943198621273041
10,0.9690666794776917,0.1095462366938591,0.9768333435058594,0.08333513140678406
11,0.9704166650772095,0.10265422612428665,0.9695000052452087,0.09598788619041443
0,0.5979863405227661,1.192559838294983,0.6415454745292664,0.9558602571487427
1,0.6702226996421814,0.8794576525688171,0.7732272744178772,0.654304563999176
2,0.7541727423667908,0.6658245921134949,0.8477727174758911,0.43790194392204285
3,0.8210909366607666,0.5041366815567017,0.878636360168457,0.35765090584754944
4,0.8537318110466003,0.4261753261089325,0.9022727012634277,0.3098393976688385
5,0.8717409372329712,0.3847145736217499,0.9003182053565979,0.2936273515224457
6,0.8799318075180054,0.36232033371925354,0.8983181715011597,0.3162882328033447
7,0.8852454423904419,0.3463251292705536,0.9067272543907166,0.26503100991249084
8,0.8879545331001282,0.3393651247024536,0.9078181982040405,0.26034098863601685
9,0.8935909271240234,0.3248651921749115,0.9091363549232483,0.2535790205001831
10,0.8972181677818298,0.312439501285553,0.9131818413734436,0.25903165340423584
11,0.8999863862991333,0.30355003476142883,0.9279090762138367,0.2272765040397644
0,0.0909590944647789,nan,0.09040909260511398,nan
1,0.09090909361839294,nan,0.09040909260511398,nan
2,0.09090909361839294,nan,0.09040909260511398,nan
3,0.09090909361839294,nan,0.09040909260511398,nan
4,0.09090909361839294,nan,0.09040909260511398,nan
5,0.09090909361839294,nan,0.09040909260511398,nan
6,0.09090909361839294,nan,0.09040909260511398,nan
7,0.09090909361839294,nan,0.09040909260511398,nan
0,0.16573333740234375,nan,0.16949999332427979,nan
1,0.1666666716337204,nan,0.16949999332427979,nan
2,0.1666666716337204,nan,0.16949999332427979,nan
3,0.1666666716337204,nan,0.16949999332427979,nan
4,0.1666666716337204,nan,0.16949999332427979,nan
5,0.1666666716337204,nan,0.16949999332427979,nan
6,0.1666666716337204,nan,0.16949999332427979,nan
7,0.1666666716337204,nan,0.16949999332427979,nan
8,0.1666666716337204,nan,0.16949999332427979,nan
9,0.1666666716337204,nan,0.16949999332427979,nan
10,0.1666666716337204,nan,0.16949999332427979,nan
11,0.1666666716337204,nan,0.16949999332427979,nan
0,0.5400000214576721,1.1659260988235474,0.6825833320617676,0.7779484987258911
1,0.7428666949272156,0.6751105189323425,0.8339999914169312,0.4482665956020355
2,0.8195750117301941,0.4246059060096741,0.8634999990463257,0.2968541979789734
3,0.8520500063896179,0.34721893072128296,0.9022499918937683,0.24490967392921448
4,0.8688166737556458,0.30948710441589355,0.8709166646003723,0.2525302469730377
5,0.8684250116348267,0.31014472246170044,0.8972499966621399,0.22463436424732208
6,0.8890833258628845,0.24880056083202362,0.9160000085830688,0.17572100460529327
7,0.9279166460037231,0.19437295198440552,0.984333336353302,0.07835794985294342
8,0.9639833569526672,0.13437847793102264,0.9864166378974915,0.08127385377883911
9,0.9578666687011719,0.16440320014953613,0.9900833368301392,0.041051700711250305
10,0.9628416895866394,0.14714902639389038,0.9879999756813049,0.05122211202979088
11,0.9788333177566528,0.08688906580209732,0.9900000095367432,0.04365641251206398
0,0.972266674041748,0.11389303207397461,0.9679166674613953,0.13406313955783844
1,0.6973000168800354,0.7965759634971619,0.7599999904632568,0.5699053406715393
2,0.7493000030517578,0.6121562719345093,0.8299166560173035,0.41070476174354553
3,0.8755750060081482,0.3498915731906891,0.9492499828338623,0.17096704244613647
4,0.9314166903495789,0.23701943457126617,0.9611666798591614,0.14853861927986145
5,0.9470250010490417,0.1809225082397461,0.9731666445732117,0.09695237129926682
6,0.9551583528518677,0.15395832061767578,0.9806666374206543,0.08145029842853546
7,0.9639666676521301,0.12704958021640778,0.9851666688919067,0.06854145973920822
8,0.9699083566665649,0.10919807106256485,0.9819999933242798,0.06508293747901917
